benchmark	visibility	visible	invisible	ratio
h2o	2048	4304036	50220	0.011533543273523652
h2o	4096	4330686	23570	0.005413094682535891
h2o	8192	4344750	9506	0.0021831513810855402
h2o	16384	4350942	3314	0.0007610944326654198
h2o	32768	4354256	0	0.0
h2o	65536	4354256	0	0.0
biojava	64	2974801	1620736	0.3526760855151422
biojava	128	3647471	948066	0.20630146161373525
biojava	256	4097250	498287	0.10842846004721537
biojava	512	4349656	245881	0.05350430210876335
biojava	1024	4475653	119884	0.026087049239294557
biojava	2048	4538857	56680	0.012333705506015945
biojava	4096	4569957	25580	0.005566270057231614
biojava	8192	4585426	10111	0.0022001781293459286
biojava	16384	4592709	2828	0.0006153796607447617
biojava	32768	4595537	0	0.0
biojava	65536	4595537	0	0.0
kafka	64	2267019	1392703	0.38054885043180875
kafka	128	2868569	791153	0.21617844196908945
kafka	256	3253018	406704	0.11112975247846694
kafka	512	3457507	202215	0.05525419690348065
kafka	1024	3560272	99450	0.027174195198433105
kafka	2048	3612087	47635	0.013016015970611975
kafka	4096	3637769	21953	0.005998543058735062
kafka	8192	3650271	9451	0.002582436589445865
kafka	16384	3656529	3193	0.0008724706412126385
kafka	32768	3659722	0	0.0
kafka	65536	3659722	0	0.0
lusearch	64	36177156	24278323	0.40159011890386315
lusearch	128	46130463	14325016	0.2369514928498044
lusearch	256	53176325	7279154	0.12040519933685415
lusearch	512	56865061	3590418	0.059389455834102316
lusearch	1024	58691975	1763504	0.02917029240641696
lusearch	2048	59624823	830656	0.013739962262146662
lusearch	4096	60088659	366820	0.006067605551516679
lusearch	8192	60298266	157213	0.0026004756326552304
lusearch	16384	60406748	48731	0.0008060642444004125
lusearch	32768	60455479	0	0.0
lusearch	65536	60455479	0	0.0
eclipse	64	2527393	892679	0.2610117564776414
eclipse	128	2907447	512625	0.14988719535729073
eclipse	256	3157406	262666	0.07680130710698488
eclipse	512	3289523	130549	0.03817141861340931
eclipse	1024	3355906	64166	0.0187615933231815
eclipse	2048	3388770	31302	0.009152438896023242
eclipse	4096	3405341	14731	0.00430721926322019
eclipse	8192	3413865	6207	0.001814874072826537
eclipse	16384	3417906	2166	0.0006333200002806959
eclipse	32768	3420072	0	0.0
eclipse	65536	3420072	0	0.0
jython	64	36552090	22326854	0.3791992940634261
jython	128	45509916	13369028	0.22705957498150783
jython	256	52575320	6303624	0.1070607516330456
jython	512	55728913	3150031	0.05350012731206592
jython	1024	57325995	1552949	0.026375286214372323
jython	2048	58129669	749275	0.012725686792208772
jython	4096	58529358	349586	0.005937368713678017
jython	8192	58727132	151812	0.0025783750469437765
jython	16384	58827546	51398	0.0008729436451849408
jython	32768	58878944	0	0.0
jython	65536	58878944	0	0.0
spring	64	49186030	22053652	0.3095697703984698
spring	128	58536755	12702927	0.17831251689191988
spring	256	64912352	6327330	0.08881749359858175
spring	512	68085391	3154291	0.04427716283180489
spring	1024	69691405	1548277	0.021733350802997688
spring	2048	70484016	755666	0.010607374693222241
spring	4096	70888885	350797	0.004924179757006776
spring	8192	71090107	149575	0.0020996022974948147
spring	16384	71190258	49424	0.0006937706431648586
spring	32768	71239682	0	0.0
spring	65536	71239682	0	0.0
jme	64	82094	38613	0.3198903129064594
jme	128	97404	23303	0.1930542553455889
jme	256	108271	12436	0.10302633650078288
jme	512	114627	6080	0.05036990398237053
jme	1024	117719	2988	0.024754156759757097
jme	2048	119282	1425	0.011805446245868094
jme	4096	120037	670	0.005550630866478332
jme	8192	120418	289	0.0023942273438988626
jme	16384	120605	102	0.0008450214154937162
jme	32768	120707	0	0.0
jme	65536	120707	0	0.0
